bottle_text,consumed,purchased,score/10,year,importer,producer,country,region,classification,size,wine_type,grapes,cost,store,location,notes,Count,,
Barboursville Octagon,,October 2013,,2009,,Barboursville,USA,"Orange, Virginia",N/A,750mL,red,"merlot, cabernet sauvignon, cabernet franc, petit verdot",$50,Barboursville,Virginia,,1,,
Ageno la stoppa,,11/29/2013,,2008,eataly,ageno,italy,emilia,IGT,750mL,orange,N/A,$35,Eataly,NYC,recommendation from Mr. Bowers,1,,
"Chappellet Malbec, Napa Valley",,,,2010,,Chappellet,USA,Napa Valley,N/A,750mL,red,Malbec,,Chappellet,"Pritchard Hill, CA (shipped)",,2,,
Chappellet Napa Valley Zinfindel,,,,2011,,Chappellet,USA,Napa Valley,,750mL,red,Zinfindel,,Chappellet,"Pritchard Hill, CA (shipped)",,2,,
Chappellet Napa Valley Cultivation Red Wine,,,,2011,,Chappellet,USA,Napa Valley,,750mL,red,"Petit Syrah, Cabernet Sauvignon, Zinfindel, Malbec, Syrah",$35,Chappellet,"Pritchard Hill, CA (shipped)",,1,,
Chappellet Pritchard Hill Napa Valley Cabernet Sauvignon,,,,2010,,Chappellet,USA,Napa Valley,,750mL,red,Cabernet Sauvignon,$135,Chappellet,"Pritchard Hill, CA (shipped)",,3,,
Cinq Cepages Chateau St Jean,,,,2009,,Chappellet,USA,Sonoma County,,750mL,red,"Cabernet Sauvignon, Merlot, Cabernet Franc, Malbec, Petit Verdot",$80,Chappellet,"Pritchard Hill, CA (shipped)",,1,,
Cinq Cepages Chateau St Jean,,,,2010,,Chappellet,USA,Sonoma County,,750mL,red,"Cabernet Sauvignon, Merlot, Cabernet Franc, Malbec, Petit Verdot",$85,Chappellet,"Pritchard Hill, CA (shipped)",,1,,
Chateau St Jean Single Vineyard Benoist Ranch Syrah,,,,2010,,Chateau St Jean,USA,Sonoma County,,750mL,red,Syrah,$30,Chateau St Jean,Chateau St Jean (shipped),,1,,
Chateau St Jean Reserve Malbec,,,,2009,,Chateau St Jean,USA,Sonoma County,,750mL,red,Malbec,,Chateau St Jean,Chateau St Jean (shipped),,1,,
Schramsberg Blanc de Noirs - Brut,,,,2009,,Schramsberg,USA,Calistoga,,750mL,sparkling,Pinot Noir and Chardonnay,$35,Schramsberg,Schramsberg (shipped),,1,,
Schramsberg Cremant Demi Sec,,,,2009,,Schramsberg,USA,Calistoga,,750mL,sparkling,flora and chardonnay,$38,Schramsberg,Schramsberg (shipped),,1,,
Schramsberg Reserve ,,,,2005,,Schramsberg,USA,Calistoga,,750mL,sparkling,Pinot Noir and Chardonnay,$110,,,,1,,
J.Schram Rose,,,,2005,,Schramsberg,USA,Calistoga,,750mL,sparkling,chardonnay and pinot noir,$140,,,,1,,
Chappellet Napa Valley Merlot,,,,2011,,Chappellet,USA,Napa Valley,,750mL,red,Merlot,$40,,,,2,,
Chappellet Napa Valley Cabernet Sauvignon,,,,2011,,Chappellet,USA,Napa Valley,,750mL,red,Cabernet Sauvignon,$58,,,,2,,
"J. Davis Cabernet Sauvignon Diamond Mountain District, Napa Valley",,,,2010,,Chappellet,USA,Napa Valley,,750mL,red,"Cabernet Sauvignon, Malbec",$35,,,,1,,
Proprieta Sperino in lessona,,,,2007,"Petit Pois Corp, Morristown, NJ",Proprieta Sperino,Italy,"Lessona, Piedmont",DOC,750mL,red,N/A,$80,,,Purchased by Daniel Maxim,1,,
CrossKeys Vineyards Tavern,,11/13/2013,,2010,,Cross Keys Vineyards,USA,Virginia,,500mL,port,Touriga Nacional,$38,,,,1,,
Chappellet Napa Valley Chardonnay,,,,2012,,Chappellet,USA,Napa Valley,,750mL,white,chardonnay and pinot noir,$35,,,,1,,
Schramsberg Extra Brut ,,,,2006,,Schramsberg,USA,Calistoga,,750mL,sparkling,,$65,,,,1,,
"Frescobaldi Castello di Pomino : Benefizio, Reserva, Pomino Blanco",,11/29/2013,,2010,Eataly,Frescobaldi,Italy,"Firenze, Tuscany",,750mL,white,Chardonnay,$40,Eataly,NYC,Lizzie's favorite wine from Italy,1,,
Chappellet Carneros Unfiltered Chardonnay,,,,2011,,Chappellet,USA,Carneros,,750mL,white,Chardonnay,,,,,1,,
Veritas Viognier,,,,2012,,Veritas,USA,"Monticello, Virgina",,750mL,white,Viognier,$21.99,Wine Bar,"Staunton, Virginia",,1,,
Chateau St Jean Chardonnay Sonoma County,,,,2011,,Chateau St Jean,USA,Sonoma County,,750mL,white,Chardonnay,,,,,1,,
"Chateau St Jean Sonoma: Robert Young Vineyard Reserve, Alexander Valley",,,,2010,,Chateau St Jean,USA,"Alexander Valley, Sonoma",,750mL,white,Chardonnay,,,,,1,,
"Chateau St Jean Gewurztraminer, Sonomoa County",,,,2012,,Chateau St Jean,USA,Sonoma County,,750mL,white,Gewurtraminer,,,,,1,,
Crios Torrontes,,,,2012,Fine Connections,Crios,Argentina,Mendoza,,750mL,white,Torrontes,$15.99,Wine Bar,"Staunton, Virginia",,1,,
"Chateau St Jean Cabernet Sauvignon, Sonoma County",12/16/2013,,,2010,,Chateau St Jean,USA,Sonoma County,,750mL,red,Cabernet Sauvignon,$20,,,"Silky, fruit forward flavors (cherry, fig, casis), easy to drink, slight smokiness, light tannins",1,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,TOTAL,35